competition,team_id,team_name,country,founded,logo
Premier League,33,Manchester United,England,1878.0,https://media.api-sports.io/football/teams/33.png
Premier League,34,Newcastle,England,1892.0,https://media.api-sports.io/football/teams/34.png
Premier League,35,Bournemouth,England,1899.0,https://media.api-sports.io/football/teams/35.png
Premier League,36,Fulham,England,1879.0,https://media.api-sports.io/football/teams/36.png
Premier League,39,Wolves,England,1877.0,https://media.api-sports.io/football/teams/39.png
Premier League,40,Liverpool,England,1892.0,https://media.api-sports.io/football/teams/40.png
Premier League,41,Southampton,England,1885.0,https://media.api-sports.io/football/teams/41.png
Premier League,42,Arsenal,England,1886.0,https://media.api-sports.io/football/teams/42.png
Premier League,45,Everton,England,1878.0,https://media.api-sports.io/football/teams/45.png
Premier League,46,Leicester,England,1884.0,https://media.api-sports.io/football/teams/46.png
Premier League,47,Tottenham,England,1882.0,https://media.api-sports.io/football/teams/47.png
Premier League,48,West Ham,England,1895.0,https://media.api-sports.io/football/teams/48.png
Premier League,49,Chelsea,England,1905.0,https://media.api-sports.io/football/teams/49.png
Premier League,50,Manchester City,England,1880.0,https://media.api-sports.io/football/teams/50.png
Premier League,51,Brighton,England,1901.0,https://media.api-sports.io/football/teams/51.png
Premier League,52,Crystal Palace,England,1905.0,https://media.api-sports.io/football/teams/52.png
Premier League,55,Brentford,England,1889.0,https://media.api-sports.io/football/teams/55.png
Premier League,57,Ipswich,England,1878.0,https://media.api-sports.io/football/teams/57.png
Premier League,65,Nottingham Forest,England,1865.0,https://media.api-sports.io/football/teams/65.png
Premier League,66,Aston Villa,England,1874.0,https://media.api-sports.io/football/teams/66.png
Championship,38,Watford,England,1881.0,https://media.api-sports.io/football/teams/38.png
Championship,43,Cardiff,Wales,1889.0,https://media.api-sports.io/football/teams/43.png
Championship,44,Burnley,England,1882.0,https://media.api-sports.io/football/teams/44.png
Championship,56,Bristol City,England,1894.0,https://media.api-sports.io/football/teams/56.png
Championship,58,Millwall,England,1885.0,https://media.api-sports.io/football/teams/58.png
Championship,59,Preston,England,1863.0,https://media.api-sports.io/football/teams/59.png
Championship,60,West Brom,England,1878.0,https://media.api-sports.io/football/teams/60.png
Championship,62,Sheffield Utd,England,1889.0,https://media.api-sports.io/football/teams/62.png
Championship,63,Leeds,England,1919.0,https://media.api-sports.io/football/teams/63.png
Championship,64,Hull City,England,1904.0,https://media.api-sports.io/football/teams/64.png
Championship,67,Blackburn,England,1875.0,https://media.api-sports.io/football/teams/67.png
Championship,69,Derby,England,1884.0,https://media.api-sports.io/football/teams/69.png
Championship,70,Middlesbrough,England,1876.0,https://media.api-sports.io/football/teams/70.png
Championship,71,Norwich,England,1902.0,https://media.api-sports.io/football/teams/71.png
Championship,72,QPR,England,1885.0,https://media.api-sports.io/football/teams/72.png
Championship,74,Sheffield Wednesday,England,1867.0,https://media.api-sports.io/football/teams/74.png
Championship,75,Stoke City,England,1868.0,https://media.api-sports.io/football/teams/75.png
Championship,76,Swansea,Wales,1912.0,https://media.api-sports.io/football/teams/76.png
Championship,746,Sunderland,England,1879.0,https://media.api-sports.io/football/teams/746.png
Championship,1338,Oxford United,England,1893.0,https://media.api-sports.io/football/teams/1338.png
Championship,1346,Coventry,England,1883.0,https://media.api-sports.io/football/teams/1346.png
Championship,1355,Portsmouth,England,1898.0,https://media.api-sports.io/football/teams/1355.png
Championship,1357,Plymouth,England,1886.0,https://media.api-sports.io/football/teams/1357.png
Championship,1359,Luton,England,1885.0,https://media.api-sports.io/football/teams/1359.png
LaLiga,529,Barcelona,Spain,1899.0,https://media.api-sports.io/football/teams/529.png
LaLiga,530,Atletico Madrid,Spain,1903.0,https://media.api-sports.io/football/teams/530.png
LaLiga,531,Athletic Club,Spain,1898.0,https://media.api-sports.io/football/teams/531.png
LaLiga,532,Valencia,Spain,1919.0,https://media.api-sports.io/football/teams/532.png
LaLiga,533,Villarreal,Spain,1923.0,https://media.api-sports.io/football/teams/533.png
